,service_id,store_id,category,merchant_name,merchant_address,store_name,store_address,longitude,latitude,specific
1898,576006017123449210,7123867235111098515,Mass Merchant,Bánh Mỳ Ánh Tuyết,"Số 89 Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",banhmyanhtuyet1,MOMOSJVT20180922,105.8256127,21.0268193,Mass Merchant
1899,4916269759642439546,2914861425243916000,Mass Merchant,Kimmy's Chocolate Hà Nội,"29A Nguyễn Chí Thanh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội, VIỆT NAM",chocolate1,MOMOFK9R20181017,105.8002603,21.0050001,Mass Merchant
1900,6982231443388607098,7919842707502225554,Mass Merchant,FRUITSDAY 1,"63 Nguyễn Du, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM",fruitsday1,MOMOHONQ20181219,106.666499,10.775634,Mass Merchant
1902,5976334042179721339,7419461700271472011,CVS,MARUMART Xuân Diệu,"170A  Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội, VIỆT NAM",marumartxd,MOMODZMO20180725,106.6690739,10.7728379,CVS
1906,5070526498254742907,3755352763367819636,Coffee chains and Milk tea,Hộ kinh doanh Phùng Thị Kim,"311 Đại Lộ Bình Dương, tổ 6 khu 12, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương, VIỆT NAM",Gong Cha Thủ Dầu Một,"309A-311 Đại Lộ Bình Dương, khu 12, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương, VIỆT NAM",106.7042202,10.7428169,Cafe
1910,6573947514783036540,82578457097144261,Coffee chains and Milk tea,Công Ty CP Những Hạt Cà Phê Nói Chuyện,"29 ngõ 93 phố Vũ Hữu  Khuất Duy Tiến, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội, VIỆT NAM",TWTTER BEANS COFFEE  VIEA,"Tầng 1 Tòa Nhà Việt Á Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội, VIỆT NAM",105.8177603,21.0178692,Cafe
1932,3057450306757234300,6802926512652084614,Mass Merchant,NHÀ HÀNG CHAY AMITABA 2 ,"180 NGUYỄN DUY DƯƠNG, Phường 6, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",nhahangamitaba2,MOMOLT1F20180625,106.685556,10.797673,Mass Merchant
1936,9039492385198365820,3964770485518013618,Mass Merchant,Trà sữa Earl Tea,"684  Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",Trà sữa Earl Tea 684 Sư Vạn Hạnh,"684  Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.718398,10.800435,Mass Merchant
1938,7310160001796817277,8112081339749365455,Coffee chains and Milk tea,Đen Đá Coffee Hàm Nghi,"96 Hàm Nghi, Phường Bến Nghé, Quận 1",dendahamnghi,MOMOJFH320180124,,,Cafe
1952,8714321951742318973,6423548506403559240,CVS,CÔNG TY CỔ PHẦN VIỆT NAM KỸ NGHỆ SÚC SẢN,"420   Nơ Trang Long, Phường 13, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Vissan Tân Mỹ,"52 DS1, Khu Phố 2, Phường Tân Phú, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",105.9163423,21.0509866,CVS
1972,7466808126828574845,7557724901711340218,Shopping,Robinson Department Store   4,Tầng hầm B1 - R6 Royal City số 72A Nguyễn Trãi - Thanh Xuân - Hà Nội,robins4,MOMOSSR020180418,105.849145,21.03579,Shopping
1980,617717190676253054,2754781372262471946,Mass Merchant,TRÀ SỮA MẸ TÔI - 266 NGÔ QUYỀN,"266 Ngô Quyền, Phường 8, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",trasuametoi123,MOMODU6A20181012,106.7034814,10.7722361,Mass Merchant
1984,7398373044743834494,8020769648294868219,Mass Merchant,Hestia Coffee & Milktea 378 Võ Văn Tần,"378 Võ Văn Tần, Phường 5, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",hestiacoffee1,MOMOBMB820180516,106.6909415,10.768458099999998,Mass Merchant
1986,7500926462320676222,3501996610961220535,Mass Merchant,ViVa Star Coffee Bella,"163/21 Tô Hiến Thành, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",ViVa Star Coffee T.Bella,"163/21 Tô Hiến Thành, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.759734,10.851021,Mass Merchant
1988,8491476075117990270,514572088156613131,Mass Merchant,NHÀ HÀNG CHẢO,"72/2 Trần Quốc Toản, Phường 8, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",nhahangchao,MOMOIVUE20181117,106.6832475,10.7605286,Mass Merchant
1992,6596477224139237248,8148835862195434640,Mass Merchant,Royal Tea 111 Nguyễn Thái Học,"111 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Royal Tea 111 Nguyễn Thái Học.,"111 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6785232,10.755982,Mass Merchant
1994,5730064122938835840,1777381507715177019,Mass Merchant,SUSHI CÔ CHỦ NHỎ,"543 Nguyễn Tri Phương, Phường 8, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",SUSHI CÔ CHỦ NHỎ 543 NGUYỄN TRI PHƯƠNG Q10,"543 Nguyễn Tri Phương, Phường 8, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.67261,10.7743405,Mass Merchant
1996,1296318385548951681,1104566157406337084,Mass Merchant,CAFE LINH,"20/91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",cafelinh123,MOMOQHKA20180916,105.936939,21.0067083,Mass Merchant
